stop_id,stop_name,stop_lat,stop_lon,access_category,access_category_v2,pedestrian_access_score,pas_v2,detour_factor,reach_ratio_5,reach_ratio_10,area_5min_m2,area_10min_m2,intersection_density_km2,dead_end_ratio,circuity,avg_street_len_m,snap_dist_m,pop_5min_crowflies,pop_5min_network,pop_10min_network,access_gap_pct,transit_share,gtfs_routes,gtfs_trips,crashes_200m,crashes_per_1k_10min,pipeline,suppressed_demand,priority_score
117104,MORELAND AVE SE @ GRACEWOOD AVE SE,33.7328,-84.3493,Poor,Moderate,33.0,47.3,1.2897,0.4885,0.4924,266458.2006,1074284.3682,383.542,0.0729,1.1316,42.2972,3.3534,956.764,486.6742,1911.6108,0.4913,0.0314,1,274,0,0.0,none,0.1314,0.3698
117106,MORELAND AVE SE @ ORMEWOOD AVE SE,33.7338,-84.3492,Good,Moderate,77.3,66.8,1.2407,0.4827,0.4752,263287.5072,1036700.4814,478.3811,0.07,1.0478,41.3545,10.1822,965.8606,485.5759,1874.6608,0.4973,0.0314,1,274,0,0.0,none,0.0669,0.1881
117108,MORELAND AVE SE @ HALL ST SE,33.7349,-84.3492,Good,Good,85.0,84.5,1.2587,0.407,0.4474,221999.6424,976010.1827,441.3198,0.0625,1.0476,44.8175,15.4649,980.1743,394.1237,1749.7493,0.5979,0.0314,1,274,0,0.0,none,0.0323,0.0909
117110,MORELAND AVE SE @ BERNE ST SE,33.7361,-84.3493,Good,Good,85.0,83.6,1.1734,0.4936,0.5204,269210.0191,1135247.727,363.8053,0.0392,1.0276,45.7728,7.0969,996.1973,498.5118,2030.5622,0.4996,0.0314,1,274,0,0.0,none,0.0216,0.0607
117112,MORELAND AVE SE @ WOODLAND AVE SE,33.7375,-84.3492,Good,Good,85.0,83.8,1.1633,0.5498,0.509,299870.8686,1110514.5448,388.0798,0.0593,1.0454,46.5693,3.2929,999.2349,555.6776,1938.6489,0.4439,0.0314,1,274,1,0.5158,none,0.0184,0.0519
117114,MORELAND AVE SE @ PORTLAND AVE,33.7388,-84.3492,Good,Good,85.0,84.6,1.186,0.5663,0.5054,308859.8397,1102523.8089,678.0289,0.0559,1.0816,35.7695,30.7255,984.0838,549.477,1888.1945,0.4416,0.0314,1,274,3,1.5888,none,0.0217,0.061
117116,MORELAND AVE SE @ GLENWOOD AVE SE,33.7399,-84.3492,Good,Good,85.0,84.3,1.1235,0.6321,0.5495,344731.4796,1198904.2935,952.4126,0.0442,1.0854,30.1404,16.8875,962.3335,585.65,2062.1585,0.3914,0.0314,1,274,3,1.4548,none,0.0111,0.0313
117118,MORELAND AVE SE @ METROPOLITAN AVE SE,33.7412,-84.3491,Good,Good,85.0,84.6,1.1629,0.6061,0.5247,330584.7369,1144625.0888,1044.4161,0.0617,1.0884,27.7381,17.2077,933.9809,556.2241,1952.7644,0.4045,0.0314,3,682,3,1.5363,none,0.0175,0.0493
117120,MORELAND AVE SE @ MCPHERSON AVE SE,33.743,-84.3492,Good,Good,85.0,84.2,1.1684,0.4453,0.5027,242891.7859,1096827.4135,1007.2944,0.07,1.0949,25.087,6.0748,902.0564,380.7863,1861.9727,0.5779,0.0314,3,682,1,0.5371,none,0.0185,0.0521
117121,MORELAND AVE SE @ MEMORIAL DR SE,33.7474,-84.3491,Good,Good,85.0,88.1,1.116,0.5318,0.5304,290039.1941,1157147.1753,671.6351,0.1977,1.0273,26.2505,7.8026,986.3606,551.7781,2285.6789,0.4406,0.0314,3,682,1,0.4375,none,0.0078,0.0219
